epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.27595,0.9122,2.60106,1.08718,0.87158,0.49402,0.60062,0.49731,0.63934,2.70772,0.90163,0.0004287,0.0004287,0.0004287
2,5.80294,0.7633,1.31596,0.97038,0.88756,0.40433,0.76178,0.63552,0.74616,2.43724,0.96109,0.00086306,0.00086306,0.00086306
3,8.36275,0.724,1.04666,0.95521,0.82522,0.72444,0.87645,0.70058,0.79774,1.35999,0.96241,0.00128865,0.00128865,0.00128865
4,10.6995,0.76106,0.99304,0.97152,0.77868,0.68942,0.85574,0.73674,0.69627,1.4057,0.91529,0.00138656,0.00138656,0.00138656
5,13.6107,0.70804,0.89275,0.94427,0.84158,0.78006,0.84451,0.72069,0.63762,1.14809,0.89551,0.00137241,0.00137241,0.00137241
6,16.3507,0.68907,0.85166,0.93765,0.89767,0.88405,0.91258,0.72953,0.70704,0.93659,0.93989,0.00135826,0.00135826,0.00135826
7,19.101,0.64056,0.77748,0.92733,0.96702,0.88402,0.94837,0.81104,0.59055,0.82262,0.87698,0.00134412,0.00134412,0.00134412
8,21.9723,0.63823,0.7441,0.92674,0.9298,0.88634,0.91544,0.79592,0.59041,0.76194,0.90456,0.00132997,0.00132997,0.00132997
9,24.7583,0.6372,0.71663,0.92297,0.97672,0.86278,0.92231,0.80048,0.60066,0.76251,0.88765,0.00131582,0.00131582,0.00131582
10,27.4733,0.59315,0.66506,0.90722,0.97002,0.90113,0.94502,0.83064,0.52904,0.57352,0.85823,0.00130168,0.00130168,0.00130168
11,30.2112,0.60169,0.63024,0.91526,0.98868,0.90153,0.95346,0.84419,0.52727,0.56323,0.86668,0.00128753,0.00128753,0.00128753
12,32.7958,0.58785,0.61199,0.90634,0.97968,0.86707,0.954,0.80786,0.61806,0.60507,0.90023,0.00127338,0.00127338,0.00127338
13,35.3951,0.57143,0.60125,0.90006,0.95402,0.90568,0.94787,0.81853,0.52554,0.5621,0.84883,0.00125923,0.00125923,0.00125923
14,38.0298,0.56247,0.57014,0.89798,0.98563,0.92119,0.95292,0.83841,0.5272,0.51326,0.87175,0.00124509,0.00124509,0.00124509
15,40.4822,0.56868,0.54966,0.8977,0.98491,0.90365,0.95797,0.86455,0.47049,0.52472,0.84538,0.00123094,0.00123094,0.00123094
16,42.8762,0.57145,0.54791,0.89903,0.95609,0.89798,0.94239,0.82744,0.48975,0.54382,0.84314,0.00121679,0.00121679,0.00121679
17,45.3029,0.55398,0.53086,0.89508,0.94556,0.93438,0.96891,0.86025,0.48545,0.52291,0.84404,0.00120265,0.00120265,0.00120265
18,47.7019,0.5246,0.5057,0.89312,0.98775,0.90721,0.95608,0.85783,0.4575,0.48419,0.84326,0.0011885,0.0011885,0.0011885
19,50.1614,0.55329,0.52619,0.90109,0.99176,0.91479,0.97103,0.87709,0.44745,0.43082,0.83011,0.00117435,0.00117435,0.00117435
20,52.5853,0.52749,0.48748,0.88312,0.97646,0.9302,0.96058,0.87644,0.46338,0.458,0.85311,0.00116021,0.00116021,0.00116021
21,54.973,0.5184,0.47368,0.88583,0.97452,0.90726,0.95082,0.86265,0.44544,0.46824,0.86312,0.00114606,0.00114606,0.00114606
22,57.4028,0.52853,0.47351,0.8925,0.97571,0.92432,0.96829,0.87138,0.46831,0.41571,0.8476,0.00113191,0.00113191,0.00113191
23,59.9141,0.51665,0.46281,0.88484,0.97147,0.94114,0.97011,0.88664,0.41714,0.39869,0.82887,0.00111776,0.00111776,0.00111776
24,62.4479,0.51214,0.45652,0.88506,0.98313,0.93208,0.96432,0.87514,0.42814,0.40984,0.83106,0.00110362,0.00110362,0.00110362
25,65.0629,0.50548,0.45414,0.87775,0.99021,0.92627,0.96578,0.89662,0.40982,0.38197,0.82879,0.00108947,0.00108947,0.00108947
26,67.3954,0.50469,0.44587,0.88217,0.98953,0.92897,0.96857,0.88501,0.42696,0.39702,0.82691,0.00107532,0.00107532,0.00107532
27,69.7812,0.50267,0.44041,0.88366,0.98601,0.94469,0.98146,0.90498,0.40114,0.40304,0.82804,0.00106118,0.00106118,0.00106118
28,72.2491,0.47002,0.41659,0.868,0.97839,0.95494,0.97495,0.88861,0.40654,0.38945,0.82129,0.00104703,0.00104703,0.00104703
29,74.4973,0.47712,0.41471,0.86853,0.99716,0.9235,0.96831,0.88988,0.43517,0.35942,0.84039,0.00103288,0.00103288,0.00103288
30,77.1397,0.47548,0.40936,0.86869,0.98213,0.93653,0.9671,0.88213,0.43501,0.41326,0.82975,0.00101873,0.00101873,0.00101873
31,79.5528,0.48533,0.41812,0.87799,0.93695,0.95859,0.9678,0.87246,0.44684,0.41999,0.82872,0.00100459,0.00100459,0.00100459
32,81.9609,0.48218,0.41067,0.87239,0.98504,0.94117,0.96983,0.8912,0.3864,0.38667,0.8226,0.00099044,0.00099044,0.00099044
33,84.3109,0.45613,0.39874,0.86056,0.98451,0.92345,0.96547,0.88558,0.43234,0.38889,0.83214,0.000976293,0.000976293,0.000976293
34,86.7375,0.47084,0.40216,0.87237,0.9703,0.93796,0.97245,0.90181,0.40463,0.36939,0.80931,0.000962146,0.000962146,0.000962146
35,89.111,0.4727,0.39394,0.86838,0.98237,0.94487,0.97198,0.89248,0.39972,0.36548,0.80886,0.000947999,0.000947999,0.000947999
36,91.5852,0.46661,0.3853,0.87159,0.96552,0.93851,0.96424,0.89631,0.40331,0.36614,0.82301,0.000933851,0.000933851,0.000933851
37,94.017,0.4338,0.36816,0.86014,0.97463,0.94326,0.97181,0.89862,0.40736,0.353,0.82678,0.000919704,0.000919704,0.000919704
38,96.4534,0.45798,0.37832,0.85872,0.98989,0.93985,0.97637,0.90951,0.3737,0.3226,0.81083,0.000905557,0.000905557,0.000905557
39,98.9099,0.45813,0.37724,0.86785,0.98071,0.93749,0.97571,0.90008,0.35728,0.32166,0.81525,0.00089141,0.00089141,0.00089141
40,101.372,0.43797,0.36545,0.85931,0.95931,0.94912,0.9756,0.91401,0.37176,0.33195,0.81242,0.000877263,0.000877263,0.000877263
41,103.776,0.43846,0.3759,0.85775,0.9425,0.95177,0.97426,0.91457,0.37739,0.34093,0.80647,0.000863116,0.000863116,0.000863116
42,106.177,0.43652,0.37387,0.85949,0.95522,0.9442,0.97324,0.90253,0.38407,0.36587,0.81278,0.000848969,0.000848969,0.000848969
43,108.586,0.43883,0.35765,0.86627,0.96813,0.9446,0.97045,0.90477,0.37002,0.34331,0.80951,0.000834822,0.000834822,0.000834822
44,111.044,0.43204,0.35649,0.85542,0.97546,0.953,0.96963,0.91548,0.36689,0.32445,0.81447,0.000820675,0.000820675,0.000820675
45,113.464,0.44706,0.36756,0.86567,0.99345,0.93135,0.97378,0.91798,0.3677,0.32023,0.81308,0.000806528,0.000806528,0.000806528
46,115.948,0.44964,0.36361,0.85491,0.99813,0.91725,0.97066,0.91415,0.35897,0.32936,0.80927,0.00079238,0.00079238,0.00079238
47,118.349,0.43221,0.35874,0.8645,0.99415,0.90981,0.97177,0.91806,0.38175,0.32918,0.80346,0.000778233,0.000778233,0.000778233
48,120.767,0.42157,0.34253,0.85879,0.95841,0.94746,0.97153,0.90989,0.36765,0.33294,0.8056,0.000764086,0.000764086,0.000764086
49,123.177,0.41487,0.34506,0.8608,0.94154,0.95513,0.97296,0.91766,0.34321,0.3131,0.80261,0.000749939,0.000749939,0.000749939
50,125.62,0.41797,0.3375,0.85533,0.97177,0.95363,0.97105,0.91488,0.33228,0.30619,0.79422,0.000735792,0.000735792,0.000735792
51,128.066,0.40549,0.33243,0.85286,0.96459,0.95205,0.977,0.92077,0.34792,0.31865,0.80537,0.000721645,0.000721645,0.000721645
52,130.532,0.40912,0.33298,0.8571,0.99251,0.91377,0.97607,0.92085,0.34088,0.32333,0.80106,0.000707498,0.000707498,0.000707498
53,132.973,0.4155,0.3363,0.85273,0.98222,0.91186,0.96835,0.90994,0.35262,0.34405,0.80755,0.000693351,0.000693351,0.000693351
54,135.349,0.43029,0.34772,0.85646,0.97045,0.91787,0.9781,0.91757,0.3476,0.31688,0.81162,0.000679204,0.000679204,0.000679204
55,137.781,0.41869,0.33879,0.86289,0.98538,0.92791,0.97585,0.91574,0.3601,0.32114,0.8112,0.000665057,0.000665057,0.000665057
56,140.192,0.41083,0.33774,0.85942,0.97478,0.92706,0.97673,0.91996,0.34739,0.30319,0.80802,0.000650909,0.000650909,0.000650909
57,142.513,0.40483,0.34161,0.85994,0.95377,0.9498,0.97615,0.92034,0.33336,0.30599,0.79996,0.000636762,0.000636762,0.000636762
58,144.84,0.40168,0.32918,0.84958,0.98322,0.91861,0.96985,0.91171,0.3607,0.33058,0.80743,0.000622615,0.000622615,0.000622615
59,147.204,0.40005,0.32985,0.85117,0.97812,0.94247,0.97111,0.91494,0.33977,0.30297,0.80033,0.000608468,0.000608468,0.000608468
60,149.554,0.39902,0.32098,0.84876,0.97118,0.94048,0.97611,0.92207,0.3337,0.28994,0.80354,0.000594321,0.000594321,0.000594321
61,151.897,0.39631,0.32899,0.85369,0.9851,0.95048,0.97332,0.91115,0.35099,0.30865,0.81656,0.000580174,0.000580174,0.000580174
62,154.327,0.39252,0.31991,0.84964,0.9783,0.9277,0.98122,0.93063,0.325,0.30048,0.7944,0.000566027,0.000566027,0.000566027
63,156.695,0.38485,0.31425,0.85137,0.96634,0.95474,0.97572,0.93141,0.3288,0.28764,0.80808,0.00055188,0.00055188,0.00055188
64,159.065,0.38834,0.312,0.85084,0.98246,0.92439,0.97118,0.92431,0.33631,0.30123,0.80472,0.000537733,0.000537733,0.000537733
65,161.413,0.3939,0.31527,0.84791,0.95815,0.95673,0.9721,0.92488,0.32981,0.27736,0.79583,0.000523586,0.000523586,0.000523586
66,163.867,0.38491,0.31176,0.84178,0.96657,0.95777,0.97771,0.92794,0.32048,0.27602,0.79549,0.000509438,0.000509438,0.000509438
67,166.253,0.39768,0.31082,0.85199,0.98336,0.95363,0.97751,0.93175,0.30175,0.27698,0.79607,0.000495291,0.000495291,0.000495291
68,168.711,0.39003,0.30227,0.85498,0.96892,0.95415,0.9751,0.93282,0.30903,0.27661,0.80023,0.000481144,0.000481144,0.000481144
69,171.091,0.36568,0.28994,0.84729,0.95792,0.96074,0.96969,0.92755,0.3192,0.27486,0.79523,0.000466997,0.000466997,0.000466997
