epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.735,0.81525,2.16801,1.0325,0.92772,0.4969,0.76792,0.63047,0.75313,2.29592,0.99468,0.000469005,0.000469005,0.000469005
2,25.8202,0.72762,1.12436,0.95473,0.95604,0.83151,0.9007,0.72793,0.77816,1.12139,0.99189,0.00093598,0.00093598,0.00093598
3,37.7995,0.72274,0.99496,0.95836,0.87087,0.84095,0.87931,0.69932,0.77799,1.092,0.95454,0.00139352,0.00139352,0.00139352
4,49.5276,0.72194,0.90278,0.96171,0.87852,0.84392,0.9042,0.7254,0.71186,1.02827,0.9812,0.00138656,0.00138656,0.00138656
5,61.3873,0.68523,0.7916,0.95221,0.80178,0.89952,0.90538,0.76633,0.62258,0.88864,0.88921,0.00137241,0.00137241,0.00137241
6,73.3605,0.65863,0.71141,0.93537,0.90647,0.88221,0.9435,0.78942,0.60536,0.64404,0.93321,0.00135826,0.00135826,0.00135826
7,85.2659,0.64093,0.66025,0.92751,0.87146,0.87397,0.89161,0.77464,0.53142,0.8176,0.86118,0.00134412,0.00134412,0.00134412
8,97.1405,0.61122,0.61327,0.91407,0.93695,0.91141,0.96304,0.83935,0.53548,0.45872,0.86418,0.00132997,0.00132997,0.00132997
9,109.355,0.61564,0.58617,0.92077,0.95694,0.89635,0.95081,0.82715,0.49068,0.50609,0.84762,0.00131582,0.00131582,0.00131582
10,121.845,0.6075,0.56534,0.91362,0.98139,0.89635,0.95787,0.85193,0.5067,0.50338,0.84457,0.00130168,0.00130168,0.00130168
11,134.057,0.57945,0.54373,0.91197,0.92871,0.92514,0.96157,0.84749,0.48757,0.4657,0.85236,0.00128753,0.00128753,0.00128753
12,145.958,0.55913,0.52273,0.90188,0.98782,0.91651,0.96512,0.8466,0.52143,0.49878,0.87668,0.00127338,0.00127338,0.00127338
13,157.793,0.56134,0.50088,0.90421,0.95467,0.90504,0.94455,0.83988,0.53103,0.49612,0.87435,0.00125923,0.00125923,0.00125923
14,169.657,0.54565,0.47374,0.8895,0.97468,0.91186,0.95801,0.86797,0.45273,0.4295,0.83985,0.00124509,0.00124509,0.00124509
15,181.52,0.53632,0.47495,0.89661,0.98963,0.90976,0.9632,0.87141,0.46312,0.42262,0.83262,0.00123094,0.00123094,0.00123094
16,193.384,0.53343,0.46217,0.89117,0.94165,0.95503,0.9682,0.88621,0.45194,0.4294,0.8367,0.00121679,0.00121679,0.00121679
17,205.145,0.53937,0.45852,0.89288,0.95212,0.93912,0.96846,0.86931,0.43579,0.40134,0.82935,0.00120265,0.00120265,0.00120265
18,216.88,0.52414,0.44635,0.89135,0.98213,0.91384,0.95845,0.86805,0.45678,0.40067,0.84033,0.0011885,0.0011885,0.0011885
19,229.048,0.50523,0.44407,0.88791,0.98081,0.90997,0.95684,0.87666,0.47436,0.3933,0.85524,0.00117435,0.00117435,0.00117435
20,241.397,0.5214,0.4383,0.88827,0.96779,0.91147,0.95493,0.86963,0.44145,0.36973,0.85315,0.00116021,0.00116021,0.00116021
21,253.692,0.49488,0.41121,0.88123,0.98901,0.92291,0.96814,0.88208,0.41486,0.34606,0.81818,0.00114606,0.00114606,0.00114606
22,265.505,0.50072,0.42086,0.88325,0.98376,0.9149,0.95281,0.85695,0.48124,0.4155,0.8376,0.00113191,0.00113191,0.00113191
23,277.336,0.49352,0.40463,0.88059,0.97003,0.92182,0.97381,0.89834,0.40707,0.35559,0.82646,0.00111776,0.00111776,0.00111776
24,289.073,0.48506,0.39372,0.88064,0.97879,0.92421,0.96172,0.88906,0.43905,0.34746,0.82868,0.00110362,0.00110362,0.00110362
25,300.812,0.48602,0.39553,0.87774,0.97387,0.90043,0.96369,0.87934,0.41896,0.36025,0.83316,0.00108947,0.00108947,0.00108947
26,312.651,0.47441,0.38621,0.87609,0.9651,0.9441,0.97683,0.89349,0.38316,0.33309,0.81669,0.00107532,0.00107532,0.00107532
27,324.303,0.4832,0.39601,0.87451,0.97699,0.95521,0.97163,0.89939,0.37929,0.32424,0.81684,0.00106118,0.00106118,0.00106118
28,336.057,0.47695,0.38532,0.87943,0.99674,0.91241,0.97461,0.8944,0.36599,0.32911,0.80643,0.00104703,0.00104703,0.00104703
29,348.058,0.47057,0.38128,0.87274,0.98154,0.95247,0.97557,0.89082,0.38509,0.34504,0.82796,0.00103288,0.00103288,0.00103288
30,360.134,0.46841,0.3794,0.87967,0.98357,0.94324,0.97447,0.89612,0.38934,0.33504,0.81441,0.00101873,0.00101873,0.00101873
31,372.033,0.45998,0.36788,0.8733,0.98743,0.94746,0.97568,0.89941,0.37238,0.31237,0.80407,0.00100459,0.00100459,0.00100459
32,383.641,0.46183,0.37402,0.87626,0.97056,0.91451,0.96456,0.90798,0.36538,0.30303,0.82612,0.00099044,0.00099044,0.00099044
33,395.202,0.46824,0.3751,0.875,0.95262,0.90646,0.9581,0.8811,0.39877,0.32492,0.86174,0.000976293,0.000976293,0.000976293
34,406.887,0.46358,0.37221,0.87136,0.98689,0.92119,0.9635,0.90255,0.39345,0.31766,0.8168,0.000962146,0.000962146,0.000962146
35,418.486,0.44725,0.35911,0.86815,0.97689,0.92171,0.96706,0.89192,0.37543,0.30522,0.81864,0.000947999,0.000947999,0.000947999
36,430.193,0.44158,0.34703,0.87135,0.95938,0.95363,0.97437,0.89238,0.40723,0.31428,0.81537,0.000933851,0.000933851,0.000933851
37,441.923,0.44247,0.3454,0.86216,0.97581,0.94746,0.97417,0.91031,0.38569,0.29236,0.81755,0.000919704,0.000919704,0.000919704
38,453.573,0.4387,0.33599,0.8617,0.9596,0.95155,0.97387,0.9001,0.39907,0.30474,0.80757,0.000905557,0.000905557,0.000905557
39,465.536,0.43806,0.33804,0.86494,0.98666,0.93012,0.97582,0.90625,0.3332,0.29894,0.80105,0.00089141,0.00089141,0.00089141
40,477.623,0.43944,0.3394,0.86202,0.94763,0.94048,0.96761,0.90774,0.3703,0.3184,0.81101,0.000877263,0.000877263,0.000877263
41,489.589,0.43108,0.34058,0.86291,0.93829,0.94303,0.96265,0.9067,0.39969,0.30657,0.83358,0.000863116,0.000863116,0.000863116
42,501.34,0.43144,0.33766,0.86654,0.9681,0.94206,0.97495,0.90875,0.33761,0.27923,0.8114,0.000848969,0.000848969,0.000848969
43,513.09,0.43403,0.33587,0.85789,0.96812,0.95356,0.97196,0.90694,0.38735,0.29263,0.80648,0.000834822,0.000834822,0.000834822
44,524.873,0.42244,0.32726,0.86033,0.96895,0.92288,0.96831,0.91682,0.33579,0.28424,0.80484,0.000820675,0.000820675,0.000820675
45,536.639,0.42175,0.33021,0.85733,0.96812,0.93575,0.9741,0.90896,0.37079,0.30727,0.8128,0.000806528,0.000806528,0.000806528
46,548.24,0.41969,0.33387,0.85977,1,0.91002,0.9623,0.91455,0.34517,0.28656,0.80228,0.00079238,0.00079238,0.00079238
47,559.936,0.41756,0.3252,0.85734,0.98207,0.93533,0.97172,0.91795,0.3188,0.27384,0.79288,0.000778233,0.000778233,0.000778233
48,571.606,0.40868,0.31973,0.85094,0.97097,0.9501,0.97349,0.90157,0.3886,0.2862,0.82275,0.000764086,0.000764086,0.000764086
49,583.421,0.40172,0.31127,0.85438,0.9497,0.96906,0.97781,0.91221,0.33038,0.27721,0.80847,0.000749939,0.000749939,0.000749939
50,595.339,0.40211,0.319,0.85116,0.94706,0.94509,0.97158,0.91972,0.33572,0.28524,0.80697,0.000735792,0.000735792,0.000735792
51,607.237,0.40442,0.31783,0.85583,0.95138,0.95058,0.96528,0.91972,0.32079,0.27395,0.79719,0.000721645,0.000721645,0.000721645
52,618.803,0.39751,0.31652,0.85961,0.98303,0.91751,0.95929,0.9195,0.33536,0.2965,0.79118,0.000707498,0.000707498,0.000707498
53,630.522,0.39682,0.3085,0.85257,0.95529,0.95675,0.97135,0.92169,0.34089,0.26748,0.80464,0.000693351,0.000693351,0.000693351
54,642.191,0.41019,0.31545,0.85845,0.96155,0.93617,0.96093,0.90805,0.35087,0.29276,0.80272,0.000679204,0.000679204,0.000679204
55,653.902,0.39897,0.31276,0.85577,0.97981,0.94506,0.97791,0.92295,0.32908,0.25989,0.80976,0.000665057,0.000665057,0.000665057
56,665.565,0.39848,0.30866,0.85388,0.9868,0.93135,0.97095,0.91457,0.34321,0.26189,0.79828,0.000650909,0.000650909,0.000650909
57,677.289,0.39361,0.30386,0.853,0.98208,0.95717,0.97772,0.92285,0.31842,0.25351,0.79138,0.000636762,0.000636762,0.000636762
58,688.911,0.39464,0.30326,0.85335,0.98428,0.96587,0.98186,0.91891,0.32204,0.2523,0.79321,0.000622615,0.000622615,0.000622615
59,703.298,0.3793,0.29585,0.85216,0.98322,0.96914,0.97257,0.92221,0.30827,0.23607,0.80038,0.000608468,0.000608468,0.000608468
60,718.246,0.38638,0.29843,0.84998,0.97539,0.92776,0.95912,0.91829,0.31871,0.24937,0.80075,0.000594321,0.000594321,0.000594321
61,726.512,0.37843,0.29586,0.8428,0.99432,0.92319,0.97048,0.92534,0.31175,0.25144,0.79604,0.000580174,0.000580174,0.000580174
62,734.767,0.37696,0.2879,0.84512,0.96686,0.95547,0.97877,0.92776,0.31031,0.25175,0.79805,0.000566027,0.000566027,0.000566027
63,743.013,0.38256,0.29598,0.84793,0.96748,0.9555,0.97259,0.92583,0.31283,0.24537,0.79446,0.00055188,0.00055188,0.00055188
