epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8,1.53481,2.30014,1.58446,0.8737,0.66084,0.80683,0.55739,1.38452,3.03431,1.34617,0.000465508,0.000465508,0.000465508
2,22.6128,1.34649,1.37034,1.39609,0.59218,0.65857,0.64598,0.35656,1.65158,4.3605,1.76166,0.000932517,0.000932517,0.000932517
3,33.4059,1.32666,1.23304,1.39483,0.65011,0.63248,0.64384,0.38012,1.80004,2.81851,1.67457,0.00139009,0.00139009,0.00139009
4,43.7173,1.3125,1.23264,1.38776,0.61118,0.50846,0.54918,0.36053,1.94897,4.24785,2.08798,0.00138656,0.00138656,0.00138656
5,54.0414,1.28305,1.10875,1.35137,0.81288,0.76205,0.86757,0.66052,1.10487,1.50348,1.19751,0.00137241,0.00137241,0.00137241
6,64.4551,1.22505,1.04463,1.33749,0.91787,0.87631,0.9439,0.72441,1.36167,1.31168,1.27744,0.00135826,0.00135826,0.00135826
7,74.7845,1.19318,0.95155,1.30324,0.80848,0.89458,0.92153,0.67819,1.27235,1.3363,1.34215,0.00134412,0.00134412,0.00134412
8,85.0671,1.17274,0.9669,1.29447,0.91114,0.81434,0.94098,0.7123,1.14844,1.12222,1.15396,0.00132997,0.00132997,0.00132997
9,95.3751,1.07835,0.84656,1.23626,0.95758,0.91398,0.98057,0.76959,1.10565,1.09347,1.24663,0.00131582,0.00131582,0.00131582
10,105.676,1.05175,0.81219,1.23151,0.95086,0.9404,0.97891,0.73809,1.19985,0.80373,1.26735,0.00130168,0.00130168,0.00130168
11,115.892,1.08771,0.81758,1.22886,0.97305,0.9099,0.96986,0.78264,1.07327,0.88098,1.1092,0.00128753,0.00128753,0.00128753
12,126.253,1.04525,0.8022,1.20683,0.84148,0.92227,0.92937,0.71132,1.18687,0.97253,1.27149,0.00127338,0.00127338,0.00127338
13,136.631,1.03977,0.80407,1.20996,0.92461,0.90028,0.96745,0.81682,1.04372,0.76202,1.0848,0.00125923,0.00125923,0.00125923
14,147.046,1.0004,0.7643,1.19969,0.94663,0.97003,0.98485,0.81377,1.09075,0.63184,1.10239,0.00124509,0.00124509,0.00124509
15,157.425,0.99061,0.73299,1.19508,0.964,0.99242,0.99234,0.83002,1.17186,0.72238,1.32057,0.00123094,0.00123094,0.00123094
16,167.836,0.95617,0.73516,1.15965,0.93708,0.9295,0.97562,0.80811,1.05501,0.69362,1.16812,0.00121679,0.00121679,0.00121679
17,178.248,0.94212,0.71252,1.16496,0.97591,0.92902,0.96647,0.79932,0.9592,0.66246,1.07384,0.00120265,0.00120265,0.00120265
18,188.572,0.94397,0.69542,1.1477,0.96126,0.94643,0.98978,0.8064,0.91693,0.60693,1.01269,0.0011885,0.0011885,0.0011885
19,198.879,0.90905,0.6746,1.13515,0.98031,0.96628,0.98702,0.82778,0.90927,0.75525,1.04456,0.00117435,0.00117435,0.00117435
20,209.2,0.89036,0.64829,1.12638,0.94399,0.95971,0.98184,0.82735,0.89844,0.67156,1.05492,0.00116021,0.00116021,0.00116021
21,219.644,0.91525,0.65711,1.14224,0.99571,0.98389,0.99345,0.84332,0.96253,0.51235,1.09301,0.00114606,0.00114606,0.00114606
22,229.992,0.90751,0.66987,1.13728,0.96617,0.97105,0.98943,0.82824,0.85707,0.49253,1.08288,0.00113191,0.00113191,0.00113191
23,240.296,0.88107,0.63965,1.12142,0.9572,0.97744,0.98454,0.82722,0.88715,0.60186,1.04815,0.00111776,0.00111776,0.00111776
24,250.676,0.86609,0.62167,1.11375,0.97739,0.98317,0.99162,0.86668,0.96144,0.46385,1.12868,0.00110362,0.00110362,0.00110362
25,261.054,0.84176,0.60705,1.09476,0.98351,0.98958,0.99101,0.86149,0.81326,0.47283,1.02034,0.00108947,0.00108947,0.00108947
26,271.426,0.84479,0.61486,1.11897,0.97588,0.9788,0.99415,0.87677,0.76696,0.48072,0.97588,0.00107532,0.00107532,0.00107532
27,281.879,0.847,0.62091,1.12386,0.96708,0.98077,0.99067,0.80945,1.17386,0.7138,1.21969,0.00106118,0.00106118,0.00106118
28,292.327,0.85384,0.60971,1.12071,0.9642,0.98285,0.98543,0.84152,0.961,0.5287,1.03153,0.00104703,0.00104703,0.00104703
29,302.69,0.82709,0.60729,1.09998,0.97318,0.98519,0.99442,0.85466,0.94111,0.50078,1.04606,0.00103288,0.00103288,0.00103288
30,313.009,0.79277,0.57271,1.07714,0.98657,0.97636,0.98399,0.8733,0.77918,0.48729,1.0322,0.00101873,0.00101873,0.00101873
31,323.307,0.7923,0.55758,1.07879,0.98588,0.96053,0.98986,0.87523,0.70902,0.48893,0.9263,0.00100459,0.00100459,0.00100459
32,333.648,0.80079,0.56913,1.08575,0.95353,0.97722,0.98535,0.88013,0.90972,0.48148,1.08357,0.00099044,0.00099044,0.00099044
33,344.026,0.79094,0.56548,1.08143,0.97178,0.98156,0.98673,0.88004,0.85929,0.51131,1.05403,0.000976293,0.000976293,0.000976293
34,354.405,0.79404,0.56613,1.10059,0.98903,0.98755,0.99469,0.8824,0.92131,0.48777,1.1008,0.000962146,0.000962146,0.000962146
35,364.79,0.78127,0.55389,1.08629,0.98366,0.98356,0.99404,0.87747,0.90873,0.46274,1.07749,0.000947999,0.000947999,0.000947999
36,375.155,0.74287,0.54674,1.06058,0.98845,0.98003,0.98768,0.89206,0.76037,0.4637,0.96116,0.000933851,0.000933851,0.000933851
37,385.544,0.73104,0.53543,1.04225,0.98408,0.98386,0.98449,0.89012,0.80803,0.48092,0.99502,0.000919704,0.000919704,0.000919704
38,395.876,0.74252,0.52891,1.05651,0.98668,0.98274,0.99206,0.88875,0.85921,0.49779,1.02685,0.000905557,0.000905557,0.000905557
39,406.225,0.71843,0.51403,1.04716,0.99004,0.99259,0.99404,0.89312,0.94759,0.42186,1.10866,0.00089141,0.00089141,0.00089141
40,416.559,0.75344,0.52617,1.06842,0.99669,0.97132,0.99405,0.88585,0.80358,0.44154,0.98868,0.000877263,0.000877263,0.000877263
41,426.907,0.71084,0.49632,1.03366,0.99078,0.99893,0.995,0.88486,0.88438,0.44542,1.15093,0.000863116,0.000863116,0.000863116
42,437.198,0.72086,0.5051,1.04485,0.98444,0.97439,0.99321,0.89443,0.83876,0.53857,1.03784,0.000848969,0.000848969,0.000848969
43,447.561,0.68763,0.4871,1.0122,0.99567,0.98424,0.99417,0.867,0.95757,0.48763,1.15,0.000834822,0.000834822,0.000834822
44,457.892,0.71338,0.50135,1.03909,0.98134,0.97761,0.98671,0.86661,0.92543,0.53676,1.06997,0.000820675,0.000820675,0.000820675
45,468.361,0.68751,0.49475,1.03045,0.98393,0.98285,0.99077,0.88969,0.81779,0.4026,1.00697,0.000806528,0.000806528,0.000806528
46,478.638,0.67153,0.47141,1.0139,0.97074,0.98297,0.98695,0.89289,0.8535,0.45037,1.01372,0.00079238,0.00079238,0.00079238
47,489.016,0.69047,0.4851,1.03339,0.98715,0.96584,0.98595,0.88861,0.85698,0.44244,1.00941,0.000778233,0.000778233,0.000778233
48,499.365,0.66726,0.46739,1.00739,0.98017,0.98502,0.98515,0.89149,0.89863,0.42108,1.09208,0.000764086,0.000764086,0.000764086
49,509.649,0.67775,0.46863,1.03554,0.98289,0.985,0.98123,0.90074,0.77499,0.37523,1.03608,0.000749939,0.000749939,0.000749939
50,520.095,0.66644,0.46071,1.01983,0.99078,0.98995,0.99455,0.91027,0.77766,0.38509,1.06648,0.000735792,0.000735792,0.000735792
51,530.566,0.64558,0.4569,1.01584,0.99673,0.99308,0.995,0.90881,0.73927,0.38114,0.95511,0.000721645,0.000721645,0.000721645
52,540.869,0.64721,0.45736,1.01081,0.98225,0.98064,0.98894,0.91767,0.69398,0.39326,0.95478,0.000707498,0.000707498,0.000707498
53,551.223,0.63339,0.44764,0.99976,0.99824,0.9875,0.99389,0.92308,0.71301,0.41147,0.93629,0.000693351,0.000693351,0.000693351
54,561.623,0.65017,0.45157,1.01109,0.99037,0.98181,0.9891,0.88626,0.82793,0.38574,1.03686,0.000679204,0.000679204,0.000679204
55,571.989,0.61096,0.42551,0.99355,0.99056,0.98661,0.98693,0.91099,0.7663,0.39777,1.03088,0.000665057,0.000665057,0.000665057
56,582.381,0.63721,0.4602,1.01376,0.99106,0.98593,0.98657,0.90031,0.72395,0.37837,0.94719,0.000650909,0.000650909,0.000650909
57,592.739,0.62654,0.45158,1.00632,0.98963,0.98403,0.98735,0.9163,0.65133,0.35503,0.93246,0.000636762,0.000636762,0.000636762
58,603.148,0.62972,0.4521,1.00813,0.98779,0.98292,0.98584,0.91707,0.80056,0.4062,1.00975,0.000622615,0.000622615,0.000622615
59,613.52,0.62306,0.43857,0.99533,0.9879,0.99242,0.98727,0.91719,0.67811,0.35467,0.96212,0.000608468,0.000608468,0.000608468
60,624.018,0.63324,0.44553,1.00142,0.98808,0.98502,0.98884,0.90952,0.74645,0.3703,0.96474,0.000594321,0.000594321,0.000594321
61,634.502,0.61231,0.43457,1.00172,0.98035,0.98502,0.98686,0.92798,0.69464,0.35236,0.96037,0.000580174,0.000580174,0.000580174
62,644.982,0.60196,0.41621,0.99032,0.97794,0.9877,0.99013,0.91164,0.76482,0.39071,0.95509,0.000566027,0.000566027,0.000566027
63,655.432,0.57994,0.41566,0.98053,0.98978,0.98502,0.98877,0.92434,0.66548,0.31877,0.93209,0.00055188,0.00055188,0.00055188
64,665.795,0.57899,0.41074,0.98367,0.99087,0.98554,0.98934,0.935,0.68342,0.34017,0.92712,0.000537733,0.000537733,0.000537733
65,676.697,0.60336,0.4202,0.99734,0.98973,0.9762,0.98728,0.90925,0.8434,0.39786,0.9942,0.000523586,0.000523586,0.000523586
66,687.035,0.58039,0.41215,0.98538,0.99063,0.97864,0.98558,0.91375,0.73339,0.34378,0.95562,0.000509438,0.000509438,0.000509438
67,697.414,0.5479,0.37966,0.95996,0.98956,0.98043,0.98362,0.93187,0.74678,0.36914,0.93266,0.000495291,0.000495291,0.000495291
68,707.814,0.5664,0.39307,0.97424,0.98994,0.98484,0.98685,0.92662,0.7624,0.35892,0.95059,0.000481144,0.000481144,0.000481144
69,718.17,0.57338,0.40657,0.98299,0.98919,0.98394,0.98747,0.92172,0.73451,0.36802,1.02232,0.000466997,0.000466997,0.000466997
70,728.492,0.56334,0.39223,0.9722,0.98954,0.98341,0.98793,0.91566,0.66895,0.32398,0.8948,0.00045285,0.00045285,0.00045285
71,738.808,0.55069,0.38374,0.96527,0.98885,0.98465,0.98869,0.93336,0.60182,0.32806,0.88784,0.000438703,0.000438703,0.000438703
72,749.113,0.55846,0.39166,0.96972,0.99012,0.98446,0.98782,0.93642,0.62602,0.33586,0.92577,0.000424556,0.000424556,0.000424556
73,759.533,0.53026,0.37924,0.96447,0.99702,0.99259,0.99486,0.93116,0.74515,0.38824,0.97865,0.000410409,0.000410409,0.000410409
74,769.839,0.55065,0.39383,0.97471,0.99746,0.99405,0.995,0.92371,0.75944,0.39246,0.97952,0.000396262,0.000396262,0.000396262
75,780.177,0.52512,0.37228,0.95845,0.99828,0.99143,0.99486,0.93768,0.69432,0.3541,0.95444,0.000382115,0.000382115,0.000382115
76,790.546,0.50501,0.36022,0.94741,0.99864,0.99367,0.995,0.94348,0.68759,0.3431,0.98381,0.000367967,0.000367967,0.000367967
77,800.982,0.52779,0.37827,0.96081,0.99546,0.99259,0.99486,0.94388,0.60414,0.33344,0.90482,0.00035382,0.00035382,0.00035382
78,811.31,0.51468,0.36474,0.95529,0.99757,0.99259,0.99486,0.93502,0.6348,0.36661,0.94376,0.000339673,0.000339673,0.000339673
79,821.609,0.50878,0.36293,0.95035,0.98389,0.98502,0.98801,0.93561,0.59365,0.34645,0.9021,0.000325526,0.000325526,0.000325526
80,831.9,0.52122,0.36911,0.96071,0.98868,0.97761,0.9888,0.94021,0.60191,0.33047,0.90061,0.000311379,0.000311379,0.000311379
81,842.176,0.50493,0.34901,0.95599,0.99624,0.99077,0.99458,0.94695,0.59553,0.38627,0.89502,0.000297232,0.000297232,0.000297232
82,852.544,0.50913,0.3643,0.95614,0.99566,0.99132,0.99422,0.93866,0.66484,0.36318,0.92008,0.000283085,0.000283085,0.000283085
83,862.862,0.5035,0.35597,0.9523,0.99783,0.99217,0.99458,0.94857,0.61302,0.31272,0.89601,0.000268938,0.000268938,0.000268938
84,873.303,0.48684,0.34822,0.94912,0.99711,0.99259,0.99433,0.95101,0.648,0.33781,0.91241,0.000254791,0.000254791,0.000254791
85,883.732,0.48538,0.34559,0.93891,0.99701,0.99198,0.99486,0.94694,0.64068,0.32518,0.91954,0.000240644,0.000240644,0.000240644
86,894.105,0.48851,0.33979,0.94569,0.99748,0.98914,0.995,0.95367,0.56894,0.34372,0.88915,0.000226497,0.000226497,0.000226497
87,904.445,0.47846,0.34587,0.93833,0.99541,0.99177,0.99486,0.94568,0.56957,0.31908,0.88875,0.000212349,0.000212349,0.000212349
88,914.744,0.46976,0.34583,0.94202,0.99653,0.99298,0.995,0.94957,0.52816,0.31738,0.85997,0.000198202,0.000198202,0.000198202
89,925.177,0.48526,0.35455,0.94926,0.99633,0.99293,0.995,0.94684,0.52588,0.30133,0.87522,0.000184055,0.000184055,0.000184055
90,935.534,0.47382,0.34394,0.93465,0.99421,0.99284,0.995,0.94719,0.5482,0.33144,0.88297,0.000169908,0.000169908,0.000169908
91,963.33,0.33789,0.2373,0.84857,0.98881,0.99881,0.995,0.94263,0.59502,0.33574,0.90679,0.000155761,0.000155761,0.000155761
92,973.554,0.33231,0.22888,0.83648,0.99728,0.99343,0.995,0.94904,0.56039,0.30007,0.90531,0.000141614,0.000141614,0.000141614
93,983.683,0.31547,0.22254,0.83664,0.99842,0.99259,0.99486,0.95415,0.59083,0.29846,0.91511,0.000127467,0.000127467,0.000127467
94,993.979,0.3168,0.21934,0.83718,0.99622,0.99319,0.995,0.95144,0.60981,0.29424,0.91813,0.00011332,0.00011332,0.00011332
95,1004.26,0.3048,0.21667,0.83914,0.99841,0.99301,0.995,0.95604,0.59958,0.29287,0.9103,9.91726e-05,9.91726e-05,9.91726e-05
